ID,year,month,tifPath,Target,class
ID_oAS61h_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_oAS61h_2024_01.tif,Rubber,3
ID_fJ3a9J_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_fJ3a9J_2024_01.tif,Rubber,3
ID_k2fuUk_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_k2fuUk_2024_01.tif,Rubber,3
ID_QBGORT_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_QBGORT_2024_01.tif,Rubber,3
ID_dnPsmj_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_dnPsmj_2024_01.tif,Rubber,3
ID_Os9CYK_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_Os9CYK_2024_01.tif,Rubber,3
ID_u3MhaM_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_u3MhaM_2024_01.tif,Rubber,3
ID_Vl5pXH_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_Vl5pXH_2024_01.tif,Palm,2
ID_JYpt3c_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_JYpt3c_2024_01.tif,Rubber,3
ID_r79TJv_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_r79TJv_2024_01.tif,Palm,2
ID_rGGiwg_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_rGGiwg_2024_01.tif,Rubber,3
ID_Vyy7Dx_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_Vyy7Dx_2024_01.tif,Palm,2
ID_OBSqEx_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_OBSqEx_2024_01.tif,Rubber,3
ID_tU8CXe_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_tU8CXe_2024_01.tif,Rubber,3
ID_GfnIdk_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_GfnIdk_2024_01.tif,Rubber,3
ID_Xh1pvu_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_Xh1pvu_2024_01.tif,Rubber,3
ID_F5tDRL_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_F5tDRL_2024_01.tif,Rubber,3
ID_TD7su6_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_TD7su6_2024_01.tif,Rubber,3
ID_CmYl2G_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_CmYl2G_2024_01.tif,Palm,2
ID_8mbQmt_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_8mbQmt_2024_01.tif,Palm,2
ID_Yiu8Q1_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_Yiu8Q1_2024_01.tif,Palm,2
ID_5GeXcl_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_5GeXcl_2024_01.tif,Rubber,3
ID_8F8ZPP_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_8F8ZPP_2024_01.tif,Rubber,3
ID_iUM0Ws_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_iUM0Ws_2024_01.tif,Rubber,3
ID_MVJYXa_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_MVJYXa_2024_01.tif,Rubber,3
ID_RedVm0_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_RedVm0_2024_01.tif,Palm,2
ID_9WxxHp_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_9WxxHp_2024_01.tif,Palm,2
ID_vp785H_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_vp785H_2024_01.tif,Rubber,3
ID_SSupeH_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_SSupeH_2024_01.tif,Rubber,3
ID_bmsWvy_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_bmsWvy_2024_01.tif,Rubber,3
ID_lIOupt_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_lIOupt_2024_01.tif,Rubber,3
ID_DRL8kW_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_DRL8kW_2024_01.tif,Palm,2
ID_vSZHw5_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_vSZHw5_2024_01.tif,Rubber,3
ID_k0v65v_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_k0v65v_2024_01.tif,Palm,2
ID_WESYGf_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_WESYGf_2024_01.tif,Palm,2
ID_0hFkvN_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_0hFkvN_2024_01.tif,Rubber,3
ID_aOqgPL_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_aOqgPL_2024_01.tif,Palm,2
ID_abekMT_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_abekMT_2024_01.tif,Rubber,3
ID_KOQOQA_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_KOQOQA_2024_01.tif,Rubber,3
ID_2iGgzO_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_2iGgzO_2024_01.tif,Rubber,3
ID_M2DJNc_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_M2DJNc_2024_01.tif,Rubber,3
ID_SZNrmO_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_SZNrmO_2024_01.tif,Rubber,3
ID_LxL7g8_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_LxL7g8_2024_01.tif,Rubber,3
ID_aZQJK3_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_aZQJK3_2024_01.tif,Rubber,3
ID_QbYj7g_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_QbYj7g_2024_01.tif,Palm,2
ID_9CHKck_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_9CHKck_2024_01.tif,Rubber,3
ID_Bm3VTW_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_Bm3VTW_2024_01.tif,Rubber,3
ID_xMZz4v_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_xMZz4v_2024_01.tif,Rubber,3
ID_bi25qY_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_bi25qY_2024_01.tif,Rubber,3
ID_T4HaP6_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_T4HaP6_2024_01.tif,Rubber,3
ID_tKRoWo_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_tKRoWo_2024_01.tif,Rubber,3
ID_wR1peh_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_wR1peh_2024_01.tif,Rubber,3
ID_wReGjO_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_wReGjO_2024_01.tif,Rubber,3
ID_nuIE1l_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_nuIE1l_2024_01.tif,Rubber,3
ID_ZesUIb_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_ZesUIb_2024_01.tif,Palm,2
ID_BmajXs_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_BmajXs_2024_01.tif,Palm,2
ID_AsXdKU_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_AsXdKU_2024_01.tif,Rubber,3
ID_bHjvEm_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_bHjvEm_2024_01.tif,Rubber,3
ID_PIXQjl_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_PIXQjl_2024_01.tif,Rubber,3
ID_cLC7ar_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_cLC7ar_2024_01.tif,Rubber,3
ID_b2Rnyf_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_b2Rnyf_2024_01.tif,Rubber,3
ID_xk4W5q_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_xk4W5q_2024_01.tif,Rubber,3
ID_FAw3Wt_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_FAw3Wt_2024_01.tif,Rubber,3
ID_wDpKRi_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_wDpKRi_2024_01.tif,Palm,2
ID_0Ov93I_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_0Ov93I_2024_01.tif,Rubber,3
ID_kYPP3a_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Cocoa_ID_kYPP3a_2024_01.tif,Cocoa,1
ID_yo17qr_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_yo17qr_2024_01.tif,Palm,2
ID_Pg197t_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_Pg197t_2024_01.tif,Rubber,3
ID_axvANo_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_axvANo_2024_01.tif,Palm,2
ID_CUmFxc_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_CUmFxc_2024_01.tif,Rubber,3
ID_yXtm8F_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_yXtm8F_2024_01.tif,Rubber,3
ID_ZBcTEb_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_ZBcTEb_2024_01.tif,Rubber,3
ID_or6uBT_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_or6uBT_2024_01.tif,Rubber,3
ID_on02IG_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_on02IG_2024_01.tif,Rubber,3
ID_LI5ZFx_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_LI5ZFx_2024_01.tif,Palm,2
ID_uZDX2F_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_uZDX2F_2024_01.tif,Rubber,3
ID_ot2aCl_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_ot2aCl_2024_01.tif,Palm,2
ID_gPwNaT_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_gPwNaT_2024_01.tif,Palm,2
ID_kqlCK4_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_kqlCK4_2024_01.tif,Rubber,3
ID_hdBd45_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_hdBd45_2024_01.tif,Rubber,3
ID_E3DVW6_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_E3DVW6_2024_01.tif,Rubber,3
ID_YYbh2U_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_YYbh2U_2024_01.tif,Rubber,3
ID_bmMyw2_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_bmMyw2_2024_01.tif,Rubber,3
ID_6RnYnT_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_6RnYnT_2024_01.tif,Rubber,3
ID_RE6wam_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_RE6wam_2024_01.tif,Palm,2
ID_oBzOjY_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_oBzOjY_2024_01.tif,Rubber,3
ID_xk7bJf_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_xk7bJf_2024_01.tif,Rubber,3
ID_ZnmN0Y_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_ZnmN0Y_2024_01.tif,Rubber,3
ID_ZHN1XK_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_ZHN1XK_2024_01.tif,Rubber,3
ID_QXd6gm_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_QXd6gm_2024_01.tif,Rubber,3
ID_12GpsM_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_12GpsM_2024_01.tif,Palm,2
ID_EjtElC_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_EjtElC_2024_01.tif,Palm,2
ID_Kv76GO_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_Kv76GO_2024_01.tif,Palm,2
ID_dbiX2A_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_dbiX2A_2024_01.tif,Rubber,3
ID_Hbyt3Z_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_Hbyt3Z_2024_01.tif,Rubber,3
ID_b1jzlJ_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_b1jzlJ_2024_01.tif,Palm,2
ID_KMPCii_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_KMPCii_2024_01.tif,Rubber,3
ID_n1NnK7_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_n1NnK7_2024_01.tif,Palm,2
ID_1uLIfw_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_1uLIfw_2024_01.tif,Rubber,3
ID_bWFMre_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_bWFMre_2024_01.tif,Palm,2
ID_9uaWNr_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_9uaWNr_2024_01.tif,Rubber,3
ID_evbynQ_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_evbynQ_2024_01.tif,Rubber,3
ID_N3CKL9_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_N3CKL9_2024_01.tif,Palm,2
ID_6MV1s1_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_6MV1s1_2024_01.tif,Palm,2
ID_EcYpY5_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_EcYpY5_2024_01.tif,Rubber,3
ID_v3hW5h_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_v3hW5h_2024_01.tif,Rubber,3
ID_fqLWlp_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_fqLWlp_2024_01.tif,Rubber,3
ID_0RuY6K_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_0RuY6K_2024_01.tif,Rubber,3
ID_yyK5Yq_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_yyK5Yq_2024_01.tif,Rubber,3
ID_bzRfPx_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_bzRfPx_2024_01.tif,Rubber,3
ID_RLu93G_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_RLu93G_2024_01.tif,Palm,2
ID_zbMscp_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_zbMscp_2024_01.tif,Rubber,3
ID_hzy3kx_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_hzy3kx_2024_01.tif,Rubber,3
ID_Th1lbV_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_Th1lbV_2024_01.tif,Rubber,3
ID_jmLfEk_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_jmLfEk_2024_01.tif,Palm,2
ID_VloIhT_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_VloIhT_2024_01.tif,Palm,2
ID_wTtcob_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_wTtcob_2024_01.tif,Palm,2
ID_4h8uzz_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_4h8uzz_2024_01.tif,Rubber,3
ID_B8x0G6_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_B8x0G6_2024_01.tif,Palm,2
ID_9YEQgu_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_9YEQgu_2024_01.tif,Rubber,3
ID_HQr75Y_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_HQr75Y_2024_01.tif,Rubber,3
ID_9wjbwx_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_9wjbwx_2024_01.tif,Rubber,3
ID_wUJPUM_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_wUJPUM_2024_01.tif,Rubber,3
ID_iLxBoE_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_iLxBoE_2024_01.tif,Rubber,3
ID_PiZsQF_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_PiZsQF_2024_01.tif,Rubber,3
ID_4DAY0n_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_4DAY0n_2024_01.tif,Palm,2
ID_UbOt8N_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_UbOt8N_2024_01.tif,Palm,2
ID_BAUEIJ_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_BAUEIJ_2024_01.tif,Rubber,3
ID_dmhKwf_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_dmhKwf_2024_01.tif,Rubber,3
ID_UP2pqR_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_UP2pqR_2024_01.tif,Rubber,3
ID_xDskVY_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_xDskVY_2024_01.tif,Palm,2
ID_ZCPRwb_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_ZCPRwb_2024_01.tif,Rubber,3
ID_HGuWip_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_HGuWip_2024_01.tif,Rubber,3
ID_3h4LVa_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_3h4LVa_2024_01.tif,Rubber,3
ID_mzJvcR_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_mzJvcR_2024_01.tif,Rubber,3
ID_uMh6vp_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_uMh6vp_2024_01.tif,Rubber,3
ID_bCvMpB_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_bCvMpB_2024_01.tif,Rubber,3
ID_fH3X7V_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_fH3X7V_2024_01.tif,Rubber,3
ID_rhgf5K_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_rhgf5K_2024_01.tif,Palm,2
ID_32HIhX_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_32HIhX_2024_01.tif,Rubber,3
ID_kso7Y6_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_kso7Y6_2024_01.tif,Rubber,3
ID_OjifIQ_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_OjifIQ_2024_01.tif,Rubber,3
ID_8HOUqs_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_8HOUqs_2024_01.tif,Palm,2
ID_tsWRmF_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_tsWRmF_2024_01.tif,Rubber,3
ID_WX9YDA_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_WX9YDA_2024_01.tif,Rubber,3
ID_kgxYtA_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_kgxYtA_2024_01.tif,Rubber,3
ID_umjapH_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_umjapH_2024_01.tif,Rubber,3
ID_pWzJTB_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_pWzJTB_2024_01.tif,Palm,2
ID_zFYTHU_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_zFYTHU_2024_01.tif,Palm,2
ID_QgYtV2_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_QgYtV2_2024_01.tif,Rubber,3
ID_lit5HC_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_lit5HC_2024_01.tif,Rubber,3
ID_3VH0uT_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_3VH0uT_2024_01.tif,Palm,2
ID_Oa3tjl_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_Oa3tjl_2024_01.tif,Palm,2
ID_8eLM8J_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_8eLM8J_2024_01.tif,Rubber,3
ID_UHEf9r_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_UHEf9r_2024_01.tif,Rubber,3
ID_bvrJMl_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_bvrJMl_2024_01.tif,Rubber,3
ID_JSll97_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Rubber_ID_JSll97_2024_01.tif,Rubber,3
ID_zKpSnm_Jan,2024,Jan,/content/drive/MyDrive/train_s2_images_new_final/s2_Palm_ID_zKpSnm_2024_01.tif,Palm,2
