ID,month,B1_mean,B1_std,B1_min,B1_max,B1_median,B2_mean,B2_std,B2_min,B2_max,B2_median,B3_mean,B3_std,B3_min,B3_max,B3_median,B4_mean,B4_std,B4_min,B4_max,B4_median,B5_mean,B5_std,B5_min,B5_max,B5_median,B6_mean,B6_std,B6_min,B6_max,B6_median,B7_mean,B7_std,B7_min,B7_max,B7_median,B8_mean,B8_std,B8_min,B8_max,B8_median,B8A_mean,B8A_std,B8A_min,B8A_max,B8A_median,B9_mean,B9_std,B9_min,B9_max,B9_median,B11_mean,B11_std,B11_min,B11_max,B11_median,B12_mean,B12_std,B12_min,B12_max,B12_median,Crop,class
ID_X9dg4u_Jan,Jan,2532.5437,27.958153,2510.0,2741.0,2527.0,2221.0288,35.49464,2179.0,2714.0,2216.0,2044.403,51.81879,1962.0,2542.0,2036.0,1791.2422,55.508163,1722.0,2464.0,1778.0,1976.6151,97.37518,1824.0,2395.0,1958.0,2804.4448,276.67703,2311.0,3534.0,2757.0,3181.6917,363.746,2550.0,4127.0,3122.0,2996.8296,365.1805,2341.0,4017.0,2915.0,3405.1946,440.22015,2682.0,4507.0,3342.0,1310.584,49.006084,1248.0,1411.0,1299.0,2319.7527,329.91885,1865.0,3125.0,2244.0,1610.607,164.48369,1380.0,2202.0,1555.0,Rubber,3
ID_zQBRwA_Jan,Jan,3865.2046,1041.5684,2476.0,5697.0,3946.0,3879.4087,1252.7521,2161.0,6157.0,4015.0,3808.137,1380.4631,1939.0,6372.0,3955.0,3926.0261,1668.6398,1713.0,7071.0,4072.0,3973.5437,1634.4108,1772.0,6950.0,4129.0,4566.985,1641.2278,2268.0,7602.0,4730.0,4946.9634,1722.3274,2489.0,8152.0,5122.0,4742.9395,1636.2311,2328.0,7836.0,4924.0,5205.3135,1830.4695,2569.0,8689.0,5415.0,1732.3141,388.52902,1214.0,2469.0,1730.0,4373.366,1806.0614,1766.0,7792.0,4566.0,3373.634,1471.9325,1348.0,6178.0,3552.0,Rubber,3
ID_gwbXk8_Jan,Jan,2523.7935,54.152317,2483.0,2886.0,2510.0,2233.4282,84.05415,2165.0,2964.0,2216.0,2075.2268,99.23247,1953.0,2898.0,2056.0,1843.7059,128.17432,1718.0,2831.0,1815.0,2083.6025,130.10364,1811.0,2943.0,2066.0,3092.2898,188.00476,2402.0,3907.0,3091.0,3585.2815,235.50235,2717.0,4397.0,3584.0,3404.778,243.4312,2540.0,4216.0,3405.0,3912.709,276.51303,2807.0,4801.0,3914.0,1372.4509,29.975332,1239.0,1488.0,1376.0,2824.911,248.13574,1908.0,3990.0,2835.0,1813.2384,168.86961,1390.0,2765.0,1791.0,Rubber,3
ID_SBD56I_Jan,Jan,2444.316,7.333339,2430.0,2456.0,2446.0,2143.418,15.839676,2102.0,2195.0,2144.0,1954.6494,41.822918,1868.0,2056.0,1971.0,1726.7981,46.799824,1634.0,1864.0,1728.0,1884.2742,118.57177,1676.0,2111.0,1932.0,2655.6963,352.02954,2089.0,3286.0,2838.0,3013.5132,463.10425,2276.0,3866.0,3242.0,2852.6045,469.72943,2096.0,4047.0,3079.0,3226.388,563.2136,2306.0,4245.0,3516.0,1297.7855,63.8168,1191.0,1376.0,1339.0,2259.9038,429.31125,1581.0,3002.0,2463.0,1556.4591,193.2737,1256.0,2019.0,1627.0,Rubber,3
ID_Fb9ZE5_Jan,Jan,2658.3325,173.12955,2570.0,3552.0,2590.0,2375.5317,232.77722,2238.0,3658.0,2293.0,2229.9646,259.8276,2031.0,3646.0,2144.0,2011.2809,338.8536,1784.0,3842.0,1887.0,2227.8552,316.67053,1920.0,3942.0,2135.0,3269.5913,308.63693,2614.0,4772.0,3219.0,3780.1606,333.87042,2931.0,5277.0,3725.0,3598.0427,329.44177,2681.0,5015.0,3552.0,4105.107,363.1786,3097.0,5682.0,4065.0,1421.6655,56.08184,1289.0,1671.0,1409.0,2985.6067,481.27164,2102.0,5331.0,2880.0,1978.7545,408.89108,1506.0,4263.0,1866.5,Palm,2
ID_xUSwCk_Jan,Jan,3471.8765,792.1131,2496.0,4949.0,3273.0,3389.9827,969.05066,2168.0,5284.0,3172.5,3299.4644,1062.8745,1950.0,5374.0,3066.5,3335.2004,1285.2693,1713.0,5841.0,3056.0,3416.0881,1258.1359,1810.0,5823.0,3157.0,4074.8232,1257.8257,2270.0,6443.0,3871.0,4469.372,1319.7135,2495.0,6911.0,4227.0,4258.242,1264.1478,2317.0,6723.0,4064.5,4743.0083,1405.0167,2579.0,7289.0,4541.0,1596.8757,293.345,1210.0,2203.0,1530.0,4114.794,1554.2552,1840.0,6745.0,4031.0,3143.6572,1312.3802,1386.0,5482.0,2979.0,Rubber,3
ID_7vucQ9_Jan,Jan,2562.069,48.535408,2521.0,2791.0,2542.0,2260.2488,79.3855,2189.0,2952.0,2233.0,2100.2288,93.97513,1985.0,2847.0,2069.0,1848.2126,109.20224,1742.0,2765.0,1812.0,2065.7373,124.11594,1837.0,2806.0,2044.0,3085.2256,250.86392,2484.0,3821.0,3072.0,3564.7605,322.91705,2768.0,4340.0,3544.0,3380.2288,329.97437,2620.0,4240.0,3375.0,3854.2292,387.01703,2864.0,4738.0,3835.0,1359.7024,39.998314,1243.0,1458.0,1357.0,2624.2898,288.24408,1944.0,3656.0,2631.0,1756.7662,184.4113,1414.0,2819.0,1740.0,Palm,2
ID_JYvjgw_Jan,Jan,2485.3691,13.524548,2459.0,2517.0,2485.0,2200.792,24.241627,2134.0,2328.0,2196.0,2056.99,35.742477,1960.0,2256.0,2051.0,1805.8839,65.01427,1723.0,2122.0,1779.0,2053.9292,65.32633,1859.0,2293.0,2036.0,3170.8032,171.86702,2296.0,3566.0,3181.0,3723.9915,248.80139,2700.0,4425.0,3733.0,3556.7551,259.05075,2173.0,4345.0,3563.0,4079.8408,281.0301,2798.0,4896.0,4096.0,1374.1672,19.407925,1308.0,1408.0,1380.0,2813.5847,223.41594,2024.0,3783.0,2761.0,1800.1338,167.40051,1418.0,2578.0,1735.0,Rubber,3
ID_d4AUvT_Jan,Jan,2600.837,246.34407,2474.0,3581.0,2503.0,2306.9714,295.8794,2146.0,3877.0,2208.0,2152.956,331.32263,1943.0,3864.0,2049.0,1949.5802,415.23532,1707.0,4061.0,1811.0,2156.6167,400.1642,1822.0,4022.0,2056.0,3010.531,448.94827,2373.0,4787.0,2983.0,3431.7773,514.6221,2619.0,5261.0,3423.0,3238.7805,484.69797,2426.0,5085.0,3249.0,3707.075,580.2623,2741.0,5583.0,3722.0,1359.9066,90.5885,1239.0,1681.0,1348.0,2746.0154,611.4321,1912.0,5094.0,2733.0,1877.333,521.78815,1398.0,4091.0,1770.0,Rubber,3
ID_qHSqbD_Jan,Jan,2531.6636,80.95562,2469.0,3082.0,2508.0,2252.4148,113.457504,2162.0,3241.0,2217.0,2105.566,125.94359,1982.0,3192.0,2069.0,1894.6263,154.27852,1752.0,3208.0,1851.0,2166.544,148.05411,1959.0,3274.0,2139.0,3178.6182,198.7261,2632.0,4177.0,3156.0,3667.6243,243.2284,2960.0,4685.0,3643.0,3500.1895,251.0781,2770.0,4591.0,3474.0,4007.3125,275.17996,3149.0,5024.0,3985.0,1414.3749,33.6145,1345.0,1592.0,1412.0,2933.1465,232.69556,2310.0,4349.0,2907.0,1912.186,176.41486,1573.0,3183.0,1875.0,Rubber,3
ID_njDllu_Jan,Jan,3187.8486,499.23532,2602.0,4291.0,2986.0,2974.014,625.7407,2278.0,4500.0,2761.0,2857.3784,698.0263,2056.0,4531.0,2623.0,2796.8982,868.04254,1822.0,4894.0,2502.0,2910.0503,836.67224,1903.0,4906.0,2619.0,3698.0608,825.4621,2474.0,5564.0,3514.0,4145.9507,879.70764,2752.0,6063.0,4020.0,3904.4487,841.0777,2525.0,5827.0,3814.0,4433.5923,949.2864,2859.0,6457.0,4319.0,1503.5936,167.26385,1251.0,1861.0,1450.0,3506.8582,1082.3306,1875.0,5840.0,3257.0,2729.374,1000.2772,1430.0,5015.0,2447.0,Rubber,3
ID_b7J6Nq_Jan,Jan,4067.8674,1166.8264,2697.0,6201.0,3879.0,3994.5237,1396.749,2415.0,6588.0,3838.0,3993.2756,1536.1536,2224.0,6892.0,3842.0,4147.0796,1888.1676,1980.0,7775.0,4011.0,4257.152,1786.4083,2120.0,7646.0,4055.0,5011.0293,1677.8564,2582.0,8334.0,4911.0,5516.1895,1733.4524,2865.0,8998.0,5443.0,5199.0415,1619.1052,2548.0,8598.0,5066.0,5904.878,1811.3372,2960.0,9667.0,5786.0,1767.085,365.1647,1294.0,2512.0,1706.0,4898.5127,1807.1973,2318.0,8452.0,5068.0,3648.901,1551.0054,1606.0,6575.0,3812.0,Rubber,3
ID_WCmEEu_Jan,Jan,2605.9485,187.22758,2468.0,3218.0,2507.0,2344.9238,253.18372,2149.0,3315.0,2218.0,2202.524,275.4097,1966.0,3238.0,2074.0,2012.3234,339.38303,1727.0,3297.0,1850.0,2230.7812,311.42682,1896.0,3352.0,2097.0,3249.154,288.99054,2666.0,4193.0,3190.0,3756.966,318.6408,2958.0,4678.0,3722.0,3587.8862,318.72925,2701.0,4519.0,3559.0,4091.9905,342.30908,3119.0,5017.0,4068.0,1403.8412,54.95773,1322.0,1584.0,1391.0,3104.288,374.47443,2501.0,4357.0,2975.0,2062.329,359.45563,1657.0,3422.0,1911.0,Rubber,3
ID_cRnoWK_Jan,Jan,2651.459,87.299545,2574.0,3044.0,2618.0,2363.2068,126.26901,2244.0,3000.0,2314.0,2206.0784,139.8352,2061.0,2901.0,2156.0,1962.1635,174.0407,1806.0,2824.0,1896.0,2177.414,163.5554,1971.0,2957.0,2130.0,3303.3403,199.73227,2762.0,3934.0,3301.0,3856.1272,239.32352,3126.0,4464.0,3867.0,3674.062,242.35121,2878.0,4313.0,3682.0,4193.5225,267.61752,3332.0,4823.0,4210.0,1429.5468,32.409092,1363.0,1526.0,1425.0,2868.6667,240.30042,2220.0,3826.0,2841.0,1898.9612,200.21709,1539.0,2865.0,1857.0,Palm,2
ID_eAzoCs_Jan,Jan,2531.3875,62.351105,2497.0,2886.0,2514.0,2240.0542,92.033745,2166.0,2964.0,2221.0,2081.9543,107.08727,1969.0,2898.0,2060.0,1850.3402,134.95514,1737.0,2831.0,1821.0,2092.2039,139.18375,1869.0,2943.0,2068.0,3103.0054,183.2448,2538.0,3907.0,3084.0,3601.3164,222.78961,2866.0,4397.0,3580.0,3420.5647,227.49869,2641.0,4216.0,3409.0,3933.136,262.2915,3039.0,4801.0,3915.0,1377.2452,27.919582,1308.0,1488.0,1377.0,2839.2761,231.35512,2136.0,3990.0,2836.0,1814.015,152.62659,1466.0,2702.0,1792.0,Rubber,3
ID_oAS61h_Jan,Jan,3284.38,539.52136,2540.0,4924.0,3230.0,3049.3257,653.9056,2211.0,5156.0,2970.0,2916.4856,718.7619,2004.0,5166.0,2819.0,2877.877,862.77295,1771.0,5524.0,2727.0,2967.722,848.5286,1878.0,5523.0,2814.0,3539.0315,881.3294,2292.0,5947.0,3411.0,3870.188,939.10046,2471.0,6366.0,3751.0,3598.62,892.8948,2262.0,6080.0,3493.0,4084.1406,1001.86664,2548.0,6693.0,3967.0,1526.0223,204.60947,1236.0,2174.0,1476.0,3302.8684,1024.643,1819.0,5738.0,3113.0,2634.5244,892.79767,1424.0,4747.0,2419.0,Rubber,3
ID_k2fuUk_Jan,Jan,4092.774,1086.5671,2603.0,5917.0,3921.0,3890.4126,1249.3492,2277.0,6410.0,3660.0,3849.4236,1375.5156,2059.0,6603.0,3591.0,4016.2517,1663.3403,1841.0,7368.0,3684.0,4078.7878,1636.0514,1912.0,7248.0,3791.0,4632.136,1655.143,2318.0,7779.0,4399.0,5025.7803,1740.0837,2518.0,8363.0,4791.0,4598.1367,1638.6045,2335.0,7954.0,4371.0,5301.78,1839.1749,2619.0,8793.0,5083.0,1802.4672,428.5985,1232.0,2582.0,1674.0,4294.3354,1722.3057,1826.0,7752.0,4252.0,3371.5525,1389.5215,1409.0,6168.0,3300.0,Rubber,3
ID_fJ3a9J_Jan,Jan,4244.106,501.88354,2962.0,5179.0,4251.0,4255.5684,623.0728,2525.0,5498.0,4276.0,4286.653,690.7535,2353.0,5693.0,4308.0,4581.029,854.1633,2171.0,6364.0,4612.0,4621.6304,821.01794,2278.0,6292.0,4644.0,5286.06,793.19775,2963.0,6951.0,5303.0,5780.0977,824.6599,3306.0,7529.0,5803.0,5431.3276,794.68005,3110.0,7151.0,5469.0,6148.5723,870.78564,3509.0,7992.0,6173.0,1826.3964,176.71086,1381.0,2194.0,1831.0,5562.2285,950.1422,2582.0,7401.0,5617.0,4486.702,810.17285,1866.0,5992.0,4554.0,Rubber,3
ID_QBGORT_Jan,Jan,2594.3313,147.95416,2449.0,2971.0,2533.0,2329.6624,213.98273,2138.0,3235.0,2223.0,2197.1096,232.69534,1957.0,3154.0,2093.0,2014.6582,300.56186,1711.0,3217.0,1875.0,2245.733,269.45752,1876.0,3290.0,2138.0,3307.3413,249.09465,2721.0,4197.0,3270.0,3818.8535,276.8204,3081.0,4674.0,3805.0,3637.5725,278.54758,2870.0,4471.0,3630.0,4149.5034,300.36288,3280.0,4964.0,4149.0,1404.9719,42.411274,1290.0,1504.0,1395.0,3132.3901,379.52032,2181.0,4306.0,3044.0,2068.3564,320.58774,1478.0,3164.0,1957.0,Rubber,3
ID_dnPsmj_Jan,Jan,2943.6172,343.2759,2581.0,3694.0,2851.0,2719.2979,461.9461,2252.0,4053.0,2555.0,2595.9219,510.38712,2051.0,4051.0,2413.0,2467.204,643.0758,1810.0,4299.0,2243.0,2625.2014,608.71747,1928.0,4301.0,2418.0,3582.711,573.9767,2611.0,5103.0,3454.0,4085.6829,606.67084,2974.0,5693.0,3999.0,3874.3413,579.04626,2735.0,5405.0,3814.0,4390.015,656.5646,3149.0,6070.0,4336.0,1463.2341,106.62396,1300.0,1704.0,1437.0,3318.8135,874.7618,2087.0,5753.0,3089.0,2448.4675,807.1948,1500.0,4829.0,2193.0,Rubber,3
ID_u3MhaM_Jan,Jan,2828.859,434.14557,2529.0,4046.0,2597.0,2585.9377,557.1579,2198.0,4213.0,2290.0,2451.337,615.46967,1995.0,4262.0,2141.0,2287.034,765.21814,1749.0,4550.0,1878.0,2465.1812,732.6226,1868.0,4522.0,2118.0,3361.3203,748.5938,2496.0,5305.0,3147.0,3804.6985,821.27606,2763.0,5840.0,3625.0,3605.84,784.8278,2575.0,5615.0,3449.0,4082.8135,899.6463,2919.0,6268.0,3943.0,1412.4937,144.21823,1259.0,1791.0,1369.0,3053.4634,1065.8673,1980.0,5866.0,2712.0,2221.9326,938.0391,1452.0,4852.0,1806.0,Rubber,3
ID_Os9CYK_Jan,Jan,3989.4336,847.95386,2619.0,5373.0,4017.0,4007.4878,1029.6653,2331.0,5892.0,4162.0,3999.7854,1115.3796,2153.0,5999.0,4153.0,4158.874,1370.5802,1908.0,6608.0,4356.0,4288.3477,1287.4602,2093.0,6659.0,4461.0,5090.7896,1153.09,2974.0,7307.0,5209.0,5604.3486,1160.6476,3320.0,7887.0,5694.0,5359.6753,1087.9353,3079.0,7411.0,5467.0,5998.813,1187.27,3589.0,8353.0,6093.0,1861.9469,289.61682,1371.0,2328.0,1869.0,5266.927,1335.8835,2554.0,7581.0,5480.0,4028.4045,1249.4099,1699.0,6031.0,4284.0,Rubber,3
ID_Vl5pXH_Jan,Jan,2573.1604,10.476501,2545.0,2618.0,2573.0,2269.6494,19.798681,2217.0,2366.0,2268.0,2106.2654,29.72697,2010.0,2223.0,2106.0,1841.6451,36.02484,1773.0,2132.0,1836.0,2050.499,53.143707,1909.0,2221.0,2049.0,3151.0747,205.74757,2497.0,3732.0,3167.0,3687.7793,298.09784,2823.0,4579.0,3719.0,3506.948,306.80356,2599.0,4500.0,3519.0,4000.6086,356.50024,3013.0,4963.0,4033.0,1384.6332,35.826466,1272.0,1459.0,1388.0,2608.3706,184.15173,2048.0,3329.0,2632.0,1710.7308,99.01133,1476.0,2279.0,1708.0,Palm,2
ID_JYpt3c_Jan,Jan,3412.9192,617.8321,2499.0,4654.0,3378.0,3270.8623,807.682,2191.0,5011.0,3155.0,3188.6172,875.23883,1982.0,5048.0,3066.0,3199.1492,1056.3151,1754.0,5444.0,3047.0,3331.2788,1017.9008,1868.0,5447.0,3180.0,4041.74,990.39276,2343.0,6092.0,3905.0,4435.9214,1029.6298,2537.0,6505.0,4313.0,4196.801,1013.2521,2374.0,6270.0,4098.0,4718.967,1081.4838,2654.0,6908.0,4595.0,1649.9481,238.9469,1253.0,2121.0,1589.0,3946.4067,1213.6361,1892.0,6376.0,3821.0,3095.1487,1092.5457,1433.0,5382.0,2970.0,Rubber,3
ID_r79TJv_Jan,Jan,2878.2053,267.7433,2576.0,3499.0,2810.0,2648.3948,360.89767,2250.0,3749.0,2544.0,2522.1667,397.34518,2076.0,3729.0,2409.0,2378.6858,509.36505,1824.0,3918.0,2231.0,2554.812,469.44394,2014.0,3951.0,2423.0,3548.1753,403.0452,2762.0,4741.0,3457.0,4069.3271,406.50436,3140.0,5268.0,4005.0,3872.3953,385.58682,2949.0,4975.0,3811.0,4400.223,420.88766,3332.0,5598.0,4347.0,1476.2826,69.77639,1298.0,1650.0,1457.0,3399.87,629.03064,2310.0,5210.0,3187.0,2405.448,626.93475,1650.0,4264.0,2203.0,Palm,2
ID_rGGiwg_Jan,Jan,3603.6008,627.7743,2686.0,5212.0,3478.0,3484.505,826.1104,2309.0,5651.0,3332.0,3402.1082,898.7655,2098.0,5731.0,3247.0,3445.203,1081.5841,1875.0,6277.0,3265.0,3539.242,1048.7942,1970.0,6176.0,3351.0,4238.4854,1027.4214,2525.0,6804.0,4132.0,4673.3,1062.4155,2836.0,7250.0,4545.0,4406.5493,1030.3798,2626.0,7016.0,4329.0,4975.908,1115.0436,2964.0,7665.0,4846.0,1665.704,241.63982,1307.0,2311.0,1621.0,4169.0444,1193.5583,2028.0,6919.0,4125.0,3255.539,1057.5265,1533.0,5708.0,3199.0,Rubber,3
ID_Vyy7Dx_Jan,Jan,2651.8074,69.60127,2616.0,3083.0,2632.0,2353.6152,103.52656,2282.0,3164.0,2329.0,2191.9072,119.24925,2068.0,3101.0,2163.0,1933.2087,145.802,1815.0,3082.0,1896.0,2159.2761,152.04797,1942.0,3280.0,2123.0,3315.1226,240.88788,2699.0,4183.0,3277.0,3878.263,298.63477,3067.0,4732.0,3839.0,3691.026,307.29123,2790.0,4621.0,3655.0,4227.6646,344.1506,3256.0,5152.0,4186.0,1417.8732,38.858986,1324.0,1538.0,1415.0,2874.3538,282.8765,2168.0,4350.0,2819.0,1876.5364,216.00189,1529.0,3430.0,1825.0,Palm,2
ID_OBSqEx_Jan,Jan,2510.1838,123.9697,2451.0,3274.0,2466.0,2223.1003,160.33925,2124.0,3356.0,2170.0,2052.2622,178.42216,1914.0,3305.0,1996.0,1830.389,216.43608,1686.0,3394.0,1755.0,2008.6913,224.31747,1779.0,3489.0,1946.0,2883.6958,331.12842,2371.0,4328.0,2842.0,3300.3403,411.01968,2638.0,4800.0,3256.0,3143.7085,413.03833,2423.0,4533.0,3117.0,3545.0593,483.14545,2775.0,5142.0,3507.0,1326.7812,60.521385,1246.0,1575.0,1314.0,2544.4856,473.41922,1896.0,4590.0,2470.0,1719.734,303.7987,1389.0,3516.0,1638.0,Rubber,3
ID_GfnIdk_Jan,Jan,2767.2515,319.00366,2541.0,3861.0,2610.0,2527.2087,416.9869,2233.0,4270.0,2325.0,2406.6174,454.95395,2055.0,4323.0,2204.0,2218.4788,569.2373,1806.0,4628.0,1954.0,2473.6313,527.62854,2021.0,4611.0,2258.0,3539.566,462.36124,2970.0,5399.0,3408.0,4075.1504,468.13953,3310.0,5941.0,3949.0,3880.2214,449.99588,3106.0,5729.0,3775.0,4456.036,486.17645,3659.0,6324.0,4358.0,1462.9689,93.692055,1380.0,1787.0,1424.0,3358.9146,672.0561,2578.0,6061.0,3086.0,2227.8376,619.2092,1703.0,4699.0,1954.0,Rubber,3
